Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
dcc74392b206754dcba4a9ca86eba079,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
3a8a7409bdc33da14a01ec3e3313b9a7,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
483f0f99446af8d753f372d4275206bf,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
c5765b724b27c3c5458aeab8edb157a1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],auto67_4W,,
894d12dd719d0bb39022a5e3226f4fab,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
eb5114cc0b78298c1ea4f6f78aead288,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
ac70ecd361a0c67c771380f7aac46cc7,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,
4ab56f9b012674eb6981ba9d3ef36170,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
1551cc7adb4a0dd9f27f8d7475c7e40a,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
f7caa0fb9de6c0408a8bb7e7d832d938,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
f2f00fc991361aaf4c465943269dfe37,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
234fecba91454a33192a7dac00e03659,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
3cc235e967fb0d4a793f86ce22e79e5f,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
670d60c3d3af25f6d17ec83afb24e238,Bacteria,WPS-2,,,,,
0109a1c7f04582ed9dacb904e371752c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
6e275efb13f43dd099f1d61a19dcd108,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
4c40c51d7a16521f7fda33dd75e341ac,Bacteria,FCPU426,,,,,
727a1bc7bf5ce7252f2e59f7b3ebc105,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
a18a0fbfd0858f3396eb1ae7ebb49b7f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
4b11c7e76e289279c460920e677924c4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
e1aee885aa820fc1bbc8eea6c27cdc3d,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
